dfc,9980672,7436,87,198
dfd,9662873,8154,82,234
dfe,9619026,7563,264,368
dff,9944222,9218,47,89
dfg,9342570,8800,107,234
dga,9714052,7333,100,279
dgb,9298182,8245,272,464
dgc,9969762,8291,52,92
dgd,9555667,9362,397,705
dge,9960819,9295,5,10
dgf,9985059,9344,10,22
dgg,9718472,7779,38,68
eaa,9948615,8678,393,613
eab,9657391,7719,240,429
eac,9919274,8181,23,83
ead,9884169,8731,40,172
eae,9990127,8127,50,138
eaf,9920988,7496,35,144
eag,9954326,8157,21,75
eba,9760387,8451,138,271
ebb,9863713,8587,56,134
ebc,9981799,8546,13,31
ebd,9605151,10202,54,118
ebe,9924153,9453,71,109
ebf,9981224,7911,53,131
ebg,9830279,8376,246,468
eca,9953119,9260,90,211
ecb,9886417,8845,95,165
ecc,9901058,9622,78,203
ecd,9926651,9787,68,124
ece,9766863,8637,51,137
ecf,9978544,9633,44,104
ecg,9918759,8178,245,322
eda,9991972,7729,95,162
edb,9954419,7733,123,174
edc,9944705,9844,19,57
edd,9918060,5468,47,95
ede,9913257,8342,20,37
edf,9576693,8819,6,14
edg,9625811,9989,127,244
eea,9900226,8866,88,139
eeb,9855440,9818,132,179
eec,9932081,7871,14,39
eed,9966276,11710,184,319
eee,9852133,6403,23,33
eef,9934348,8604,12,26
eeg,9957492,8968,183,291
efa,9993407,8091,109,309
efb,9883573,10898,48,71
efc,9756521,9429,128,236
efd,8960575,8038,386,538
efe,9863930,9016,14,40
eff,9861647,7239,97,204
efg,9994193,7317,133,242
ega,9908009,8563,134,191
egb,9851414,7812,232,337
egc,9985826,9199,75,125
egd,9850939,9790,98,270
ege,9912593,9375,42,89
egf,9863726,9280,6,16
egg,9210117,8296,62,166
faa,9886110,10720,117,283
fab,9914592,8847,252,474
fac,9639508,8653,13,34
fad,9587999,8615,15,34
fae,9599503,7722,97,159
faf,9994578,7459,28,55
fag,9724639,9154,78,244
fba,9910731,10799,112,197
fbb,9901179,7613,211,312
fbc,9805590,9009,9,21
fbd,9737230,9139,89,243
fbe,9777623,8578,7,24
fbf,9418106,9228,83,212
fbg,9846979,7397,155,266
fca,9804176,10507,60,108
fcb,9869887,9133,110,202
fcc,9755115,8305,194,346
fcd,9867588,7693,78,126
fce,9744071,8315,69,195
fcf,9768198,8171,17,38
fcg,9958442,9978,87,257
fda,9942761,8825,86,146
fdb,9694685,10505,301,454
fdc,9539617,8402,330,540
fdd,9988496,7876,24,83
fde,9854061,8567,352,685
fdf,9723794,9235,244,332
fdg,9726722,9563,78,114
fea,9966955,9100,18,83
feb,9754404,8293,113,187
fec,9810588,9332,5,14
fed,9916098,8540,177,316
fee,9943359,10409,72,116
fef,9947737,9594,355,597
feg,9873074,9820,70,122
ffa,9949978,7954,103,265
ffb,9868200,7554,276,367
ffc,9760463,8800,5,15
ffd,9959007,9436,249,360
ffe,9950224,7048,52,164
fff,9675659,10173,39,76
ffg,9493353,9203,62,234
fga,9997962,7296,125,298
fgb,9390416,10058,112,276
fgc,9963929,8766,95,128
fgd,9835413,8113,5,7
fge,9915305,9927,17,47
fgf,9939951,8169,65,143
fgg,9755889,11267,376,864
gaa,9773138,6434,91,230
gab,9886834,9193,152,211
gac,9459033,7609,67,176
gad,9901037,8678,51,77
gae,9499685,7910,109,144
gaf,9698268,9995,119,266
gag,9902079,9330,515,923
gba,9975275,9359,74,126
gbb,9962589,9433,247,393
gbc,9778805,7668,22,54
gbd,9893070,9553,31,112
gbe,9404992,7151,113,255
gbf,9788133,9260,169,239
gbg,9753410,9389,32,64
gca,9944506,9527,50,93
gcb,9820024,7554,305,541
gcc,9971421,8578,519,922
gcd,9974596,9842,24,127
gce,9765114,10936,122,215
gcf,9860821,9967,220,290
gcg,9824726,9000,26,47
gda,9959933,9513,65,213
gdb,9864057,8878,37,122
gdc,9877082,7499,172,295
gdd,9459902,8247,62,132
gde,9994401,9998,57,256
gdf,9857692,8485,23,43
gdg,9842968,7986,5,6
gea,9973396,9268,69,119
geb,9714059,9637,29,156
gec,9829177,9702,244,421
ged,9958792,8612,36,133
gee,9969639,7409,298,544
gef,9932925,9051,98,170
geg,9593312,9023,120,280
gfa,9966870,8800,162,254
gfb,9931737,8069,80,111
gfc,9959355,10201,113,200
gfd,9840515,9569,92,230
gfe,9906821,7979,215,341
gff,9905827,8482,48,114
gfg,9924777,8364,28,72
gga,9991046,9986,99,166
ggb,9948101,8721,282,531
ggc,9860352,9203,17,53
ggd,9985525,10300,171,292
gge,9938650,8475,14,49
ggf,9285888,7898,27,60
ggg,9897380,8626,5,11
